year,scenario,occ_rate,adr,occupied_nights,gross_room_rev,commissions,net_room_rev,var_cleaning,fixed_opex,maint_reserve,ebitda
2026,Prudente,0.45,85.0,3285.0,279225.0,37025.23500000001,242199.76499999998,58933.55481727575,186000.0,4843.9953,-7577.78511727578
2027,Prudente,0.4545,86.7,3317.85,287657.59500000003,38143.39709700001,249514.19790300002,59522.89036544851,186000.0,4990.28395806,-998.9764205084939
2028,Prudente,0.45904500000000004,88.434,3351.0285000000003,296344.854369,39295.32768932941,257049.5266796706,60118.119269103,186000.0,5140.990533593413,5790.416876974225
2029,Prudente,0.45904500000000004,90.20268,3351.0285000000003,302271.75145638,40081.234243116,262190.517213264,60118.119269103,186000.0,5243.81034426528,10828.587599895749
2030,Prudente,0.45445455,91.1047068,3317.518215,302241.52428123436,40077.22611969168,262164.2981615427,59516.938076411956,186000.0,5243.285963230854,11404.074121899874
2026,Base,0.55,105.0,4015.0000000000005,421575.00000000006,55900.845000000016,365674.155,72029.90033222592,186000.0,7313.4831,100330.77156777412
2027,Base,0.5555000000000001,107.10000000000001,4055.1500000000005,434306.5650000001,57589.050519000026,376717.5144810001,72750.19933554818,186000.0,7534.350289620002,110432.96485583187
2028,Base,0.5610550000000001,109.242,4095.7015000000006,447422.6232630001,59328.23984467382,388094.38341832627,73477.70132890365,186000.0,7761.887668366526,120854.79442105605
2029,Base,0.5610550000000001,111.42684000000001,4095.7015000000006,456371.0757282601,60514.8046415673,395856.2710866928,73477.70132890365,186000.0,7917.1254217338565,128461.44433605531
2030,Base,0.5554444500000001,112.54110840000001,4054.7444850000006,456325.4386206873,60508.753161103145,395816.6854595841,72742.92431561463,186000.0,7916.333709191683,129157.42743477778
2026,Ottimistico,0.65,125.0,4745.0,593125.0,78648.37500000001,514476.625,85126.24584717608,186000.0,10289.5325,233060.84665282397
2027,Ottimistico,0.6565000000000001,127.5,4792.450000000001,611037.3750000001,81023.55592500004,530013.8190750001,85977.50830564786,186000.0,10600.276381500003,247436.03438785224
2028,Ottimistico,0.6630650000000001,130.05,4840.374500000001,629490.7037250001,83470.46731393503,546020.2364110651,86837.28338870434,186000.0,10920.404728221301,262262.54829413944
2029,Ottimistico,0.6630650000000001,132.651,4840.374500000001,642080.5177995001,85139.87666021373,556940.6411392865,86837.28338870434,186000.0,11138.812822785729,272964.54492779635
2030,Ottimistico,0.6564343500000002,133.97751000000002,4791.970755000001,642016.3097477204,85131.36267254774,556884.9470751727,85968.9105548173,186000.0,11137.698941503453,273778.3375788519
